team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
215,2034,106,11,1,786,184,953,306,227,46,0,150,173,136,284,197,3253,0,100,0,2,12,2,170,45,3,11,2,10,0,0,22,15,3,39,14,0,7,5,100,0,0,9,1,7,18.5870,0.2888,0.4000,0.3893,0.7893,11.1033,2.2500,0.4891,7.3370,0.0000,0.0000,0.0000,0.1429,0.0000,0.2857,0.7143,0.3900,6.6522,32.5300,0.0000,2.0489,0.5904,0.3067,0.2928
216,2034,106,11,1,526,123,631,210,159,51,0,95,105,73,178,114,2217,0,74,0,7,6,3,132,12,2,8,6,9,0,0,3,3,0,31,11,0,6,2,74,0,0,3,4,2,18.5854,0.3023,0.4038,0.3992,0.8031,11.6341,3.7317,0.6585,6.9512,0.0000,0.0000,0.0000,0.5385,0.0000,0.6000,0.3333,0.4189,5.3415,29.9595,0.0000,2.0650,0.6096,0.5368,0.3165
217,2034,106,11,1,525,136,592,189,127,89,0,60,54,41,197,107,2084,0,106,0,10,3,13,85,29,5,2,6,7,1,0,2,3,0,40,9,0,20,6,106,0,0,4,0,16,12.3750,0.2419,0.3186,0.3600,0.6786,8.4044,5.8897,0.4632,3.9706,0.0000,0.0000,0.0000,0.7692,0.0000,0.6842,0.3000,0.3774,2.7132,19.6604,0.0000,1.3750,0.6480,1.4833,0.2784
218,2034,106,11,1,676,171,758,244,179,66,0,72,85,72,267,157,2499,0,111,0,7,10,12,131,34,7,3,11,3,0,0,7,2,0,39,13,0,16,3,111,0,0,5,2,17,13.2105,0.2648,0.3342,0.3609,0.6952,9.4211,3.4737,0.1579,3.7895,0.0000,0.0000,0.0000,0.4118,0.0000,0.8000,0.1875,0.3514,3.7895,22.5135,0.0000,1.4678,0.6297,0.9167,0.2885
219,2034,106,11,1,597,157,674,187,146,68,0,70,53,45,234,143,2259,2,111,0,14,3,16,116,23,2,5,3,4,0,0,4,1,0,40,17,0,25,6,111,0,0,9,6,21,12.3298,0.2446,0.3214,0.3132,0.6347,8.3340,3.8816,0.2283,3.9958,0.0000,0.0000,0.0000,0.8235,0.0000,0.7273,0.2400,0.3604,2.5687,20.3514,0.0000,1.3700,0.6207,0.9714,0.2679
220,2034,106,11,1,610,152,711,206,144,78,0,93,93,73,215,146,2442,2,111,0,6,8,11,104,24,1,4,10,6,0,0,10,5,3,40,9,0,15,4,111,0,0,5,7,21,14.1485,0.2361,0.3380,0.3377,0.6757,8.4891,4.5983,0.3537,5.4825,0.0000,0.0000,0.0000,0.4286,0.0000,0.7333,0.2667,0.3604,4.3035,22.0000,0.0000,1.5524,0.5956,0.8387,0.2604
221,2034,106,11,1,722,180,814,272,186,81,0,80,94,71,268,168,2707,1,118,0,15,6,15,128,38,4,5,12,8,0,2,11,6,1,40,16,0,19,2,118,0,0,2,2,17,13.3253,0.2576,0.3304,0.3767,0.7072,9.2828,4.0425,0.3993,3.9926,0.0000,0.0000,0.0000,0.7143,0.0000,0.8824,0.1053,0.3390,3.5434,22.9407,0.0000,1.4750,0.6147,1.0125,0.2790
222,2034,106,11,1,586,133,733,267,194,42,0,130,152,119,188,148,2585,0,91,0,8,11,5,146,34,4,11,3,11,0,0,6,8,2,37,7,0,15,9,91,0,0,8,0,9,22.0602,0.3311,0.4472,0.4556,0.9028,13.1278,2.8421,0.7444,8.7970,0.0000,0.0000,0.0000,0.4211,0.0000,0.3571,0.6000,0.4066,8.0526,28.4066,0.0000,2.4361,0.5595,0.3231,0.3364
223,2034,106,11,1,718,169,829,311,224,52,0,92,137,114,261,169,2809,0,135,0,11,8,11,168,34,6,11,13,9,1,0,4,9,2,40,14,0,20,9,135,0,0,12,3,29,16.9349,0.3120,0.3864,0.4331,0.8195,11.9290,2.7692,0.4793,4.8994,0.0000,0.0000,0.0000,0.5789,0.0000,0.5500,0.4500,0.2963,6.0710,20.8074,0.0000,1.8698,0.6070,0.5652,0.3219
224,2034,106,11,1,561,144,629,179,126,88,0,58,62,42,203,123,2111,0,112,0,10,4,13,93,20,4,5,6,7,0,0,3,7,1,38,10,0,18,5,112,0,0,4,3,20,11.5625,0.2246,0.2960,0.3191,0.6151,7.8750,5.5000,0.4375,3.6250,0.0000,0.0000,0.0000,0.7143,0.0000,0.7222,0.2778,0.3393,2.6250,18.8482,0.0000,1.2778,0.6227,1.5172,0.2527
